,country1,country2,geo_dist,religious_dist,relig_diff(7),geo_dist_new
716,CZE,EGY,2632.158,2.168,0.550864849682818,2897.566410183117
717,CZE,ETH,5082.585,2.121,-0.689867252132242,5146.942747674504
718,CZE,GBR,1033.11,0.303,-1.02826369697581,1290.9162136683046
719,CZE,GRC,1532.959,1.492,0.11479571479366,1258.4322857979575
720,CZE,GTM,9797.42,1.484,0.165828453212629,9832.753920418618
722,CZE,IDN,10700.739,2.175,0.50677349760371,9839.194577411652
723,CZE,IND,8460.082,1.658,0.387132117476166,6253.385999614951
724,CZE,IRN,3361.48,1.788,0.799509202954886,3796.0603083887936
725,CZE,IRQ,3070.875,2.027,0.712150629117901,2949.9940894639776
726,CZE,JOR,2683.383,2.138,0.711643214532184,2749.324744361546
727,CZE,JPN,9072.369,0.372,0.164114246228148,8937.713034475852
728,CZE,KAZ,3919.203,1.15,-0.302651847082996,3770.398382279274
729,CZE,KEN,6095.058,2.004,-0.4266288126751,5888.015007597579
730,CZE,KGZ,4546.34,1.549,-0.322121976388704,4554.292009738704
731,CZE,KOR,8248.307,0.493,-1.11525534424557,8377.838190226821
732,CZE,LBN,2487.267,1.733,-0.0406985110407858,2427.122202748847
733,CZE,LBY,1915.539,2.172,0.776960364200599,2594.35262521269
735,CZE,MAR,2488.626,2.069,0.821510889756222,2757.1705635146664
737,CZE,MEX,9925.691,1.351,-0.0994358352191233,9774.531545625712
738,CZE,MMR,7746.369,1.983,0.385416700874315,7518.351506604627
739,CZE,MNG,6290.262,0.396,-0.219963383029363,6223.333458702001
740,CZE,MYS,9539.647,1.814,0.107442714825375,10396.165704869785
741,CZE,NGA,4603.897,2.12,-0.40706247832813,4555.55713601816
742,CZE,NIC,9724.213,1.66,-0.0412695638577871,9664.953796192143
744,CZE,NLD,8459.688,0.616,-1.0573568724027,736.6344385283588
745,CZE,NZL,18209.153,0.751,-0.920994692167553,17920.20288627812
746,CZE,PAK,5034.479,2.054,0.712161272974627,4965.550306967746
747,CZE,PER,11139.615,1.408,0.165828453212629,10985.185155594323
748,CZE,PHL,9899.55,2.045,-0.0623907912482536,10244.718830067393
750,CZE,ROU,1077.442,1.445,0.137905125068303,851.2459259598446
751,CZE,RUS,1664.228,0.836,-0.778598808361735,2104.2024523777236
752,CZE,SGP,9854.151,1.111,-0.429935295315552,9779.527634380416
753,CZE,SRB,738.634,0.901,0.0431689446698928,753.7147616849134
754,CZE,SVK,288.503,0.781,-0.0435965078698141,295.2275371867463
755,CZE,THA,8560.188,1.53,0.701017256960574,8394.705342686071
756,CZE,TJK,4400.309,1.72,0.597116415331345,4631.974338585105
757,CZE,TUN,1516.082,2.096,0.822071803733696,1874.9348293296225
758,CZE,TUR,1826.341,1.681,0.798387984302306,1905.237745612336
759,CZE,TWN,9022.475,0.791,-0.908502523436941,9053.700797737483
760,CZE,UKR,1139.517,1.176,0.0262540279006002,1200.6567833076692
761,CZE,URY,11707.52,0.509,-0.622934626087069,11572.162930393844
762,CZE,USA,7705.695,0.926,-0.391276555694131,8107.900601192284
763,CZE,UZB,4263.317,1.582,0.607263750432201,3807.535130883697
764,CZE,VEN,8499.418,1.299,-0.0738467800261672,8679.920971588512
765,CZE,VNM,8326.571,0.557,-0.345178033917076,8180.613382042646
766,CZE,ZWE,7723.445,2.053,-0.553197246503758,7782.575125281019
767,DEU,ECU,10155.5,1.042,-1.03022076896932,9966.944828246831
768,DEU,EGY,2892.06,1.691,0.972660121419283,3224.2425035287483
769,DEU,ETH,5348.296,1.644,-0.0249181609536162,5484.203028810248
770,DEU,GBR,928.173,0.174,-1.0214536129795,880.8941891958731
771,DEU,GRC,1803.529,1.015,-0.962298841496676,1582.0250402816077
772,DEU,GTM,9633.605,1.007,-0.911546624355938,9412.198264724344
774,DEU,IDN,10782.769,1.698,0.937974529053866,10245.063810990558
775,DEU,IND,8659.48,1.181,0.895154296237939,6661.555605983639
776,DEU,IRN,3506.056,1.311,1.26324540827105,4216.7647648605225
777,DEU,IRQ,3261.288,1.55,1.15775905900013,3365.4820906632003
778,DEU,JOR,2919.357,1.661,1.15641734395495,3138.7098319379647
779,DEU,JPN,8919.867,0.105,0.731750805484188,9114.904973531698
780,DEU,KAZ,3881.854,0.672,0.28755566257506,4107.942888263056
781,DEU,KEN,6369.588,1.527,-1.31729852930633,6202.662832328895
782,DEU,KGZ,4558.753,1.072,0.281061357337825,4920.346087946671
783,DEU,KOR,8128.633,0.016,-0.640244488452151,8599.622511442782
784,DEU,LBN,2717.99,1.256,0.27520797656543,2827.0729709861785
785,DEU,LBY,2183.946,1.695,1.24440514521989,2795.0822971421553
787,DEU,MAR,2610.164,1.592,1.28080317033723,2554.6910109139126
789,DEU,MEX,9726.423,0.874,-1.17679118515306,9372.231983463584
790,DEU,MMR,7788.18,1.506,0.851835579700282,7897.501800942478
791,DEU,MNG,6189.697,0.081,0.487151340893599,6489.268552238448
792,DEU,MYS,9612.882,1.337,0.632183130730307,10771.6375663447
793,DEU,NGA,4859.43,1.643,-0.347509840240996,4621.32911838877
794,DEU,NIC,9580.175,1.183,-1.11864464142635,9244.31113968842
796,DEU,NLD,8377.508,0.138,-0.970541004754253,323.89908686340556
797,DEU,NZL,18139.096,0.274,-1.15018045664064,18208.33164378236
798,DEU,PAK,5103.752,1.577,1.15776796855998,5378.190619538359
799,DEU,PER,11098.114,0.931,-0.911546624355938,10614.598623857244
800,DEU,PHL,9865.578,1.568,-1.12887570446021,10571.814934855824
802,DEU,ROU,1294.852,0.968,-0.939469952500264,1267.6844712480492
803,DEU,RUS,1608.031,0.359,-1.16629590955215,2363.815114121014
804,DEU,SGP,9925.042,0.633,0.14863956603486,10179.056634550787
805,DEU,SRB,1000.381,0.423,-1.03288094582284,1120.9854543406918
806,DEU,SVK,552.843,0.304,-1.12097158543838,715.5295379009111
807,DEU,THA,8605.359,1.053,1.17590311116358,8774.929476946278
808,DEU,TJK,4458.383,1.243,1.09619592546811,5016.058543009588
809,DEU,TUN,1765.982,1.619,1.28215090398519,1921.6031021218787
810,DEU,TUR,2037.966,1.204,1.26054088324779,2318.843215675333
811,DEU,TWN,8956.144,0.314,0.0308724355053257,9349.682593880078
812,DEU,UKR,1205.238,0.699,-1.0510345781671,1593.7100758049316
813,DEU,URY,11810.032,0.032,-1.45317698729637,11320.737630144373
814,DEU,USA,7615.81,0.449,-1.45587265967483,7721.6860036638145
815,DEU,UZB,4302.528,1.105,1.08474961815526,4195.411421205106
816,DEU,VEN,8427.538,0.822,-1.15122185759473,8289.266572578728
817,DEU,VNM,8328.545,0.08,0.291239997694869,8534.351340094956
818,DEU,ZWE,8004.608,1.576,-1.52353289951908,8017.677596581063
819,ECU,EGY,11911.491,0.649,1.3196038985729,11825.404886510323
820,ECU,ETH,12995.811,0.602,0.452864302542895,13029.601669033887
821,ECU,GBR,9228.628,1.216,-0.481299148582721,9227.006090930694
822,ECU,GRC,11091.611,0.028,-1.50567192114734,10946.246697317327
823,ECU,GTM,2114.439,0.035,-1.45837846718232,2257.190720596519
825,ECU,IDN,19091.24,0.656,1.29000776857321,19768.793009577912
826,ECU,IND,16681.407,0.139,1.27670017821318,16615.13941066639
827,ECU,IRN,13516.659,0.269,1.61408704992045,14029.351388493264
828,ECU,IRQ,13023.75,0.508,1.50574776814812,12974.2268162066
829,ECU,JOR,12305.753,0.618,1.50414462510552,12410.081402672744
830,ECU,JPN,14433.334,1.148,1.14058887623726,14607.206492142339
831,ECU,KAZ,13686.094,0.37,0.726264664231644,13835.195400727365
832,ECU,KEN,12821.62,0.485,-1.01300983099511,12909.884060747761
833,ECU,KGZ,14567.769,0.03,0.723777336354699,14757.421608587862
834,ECU,KOR,15110.63,1.026,-0.12688848309516,15262.845395715236
835,ECU,LBN,12216.752,0.214,0.62802612936704,12294.527393192962
836,ECU,LBY,10176.769,0.652,1.59732974898036,10686.411857077133
838,ECU,MAR,8342.55,0.55,1.62932763313609,8295.302703122308
840,ECU,MEX,3135.852,0.169,-1.43038128640219,3822.8275393038066
841,ECU,MMR,17763.274,0.464,1.22067060117557,17664.288823262024
842,ECU,MNG,14685.422,1.123,0.948223107028065,15035.167992599345
843,ECU,MYS,19686.31,0.295,1.03176608667677,18671.242075052192
844,ECU,NGA,9575.513,0.601,-0.0046426861778181,9558.104742397965
845,ECU,NIC,1617.875,0.141,-1.48862873933867,1725.0617499232078
